,0
0,ENSG00000075131
1,ENSG00000162607
2,ENSG00000102316
3,ENSG00000023909
4,ENSG00000154473
5,ENSG00000117632
6,ENSG00000117748
7,ENSG00000068697
8,ENSG00000184564
9,ENSG00000120438
10,ENSG00000149089
11,ENSG00000167508
12,ENSG00000142089
13,ENSG00000121390
14,ENSG00000140525
15,ENSG00000075218
16,ENSG00000123485
17,ENSG00000111247
18,ENSG00000050405
19,ENSG00000120437
20,ENSG00000164167
21,ENSG00000160014
22,ENSG00000118939
23,ENSG00000115756
24,ENSG00000100380
25,ENSG00000181649
26,ENSG00000204392
27,ENSG00000139350
28,ENSG00000177311
29,ENSG00000134453
30,ENSG00000167088
31,ENSG00000151725
32,ENSG00000176014
33,ENSG00000117450
34,ENSG00000095752
35,ENSG00000149485
36,ENSG00000100410
37,ENSG00000146247
38,ENSG00000177508
39,ENSG00000077514
40,ENSG00000149483
41,ENSG00000157150
42,ENSG00000109881
43,ENSG00000136982
44,ENSG00000145284
45,ENSG00000097021
46,ENSG00000135046
47,ENSG00000164442
48,ENSG00000071539
49,ENSG00000049541
50,ENSG00000106355
51,ENSG00000108654
52,ENSG00000050393
53,ENSG00000099783
54,ENSG00000144848
55,ENSG00000130066
56,ENSG00000154640
57,ENSG00000184357
58,ENSG00000023697
59,ENSG00000178741
60,ENSG00000100664
61,ENSG00000213347
62,ENSG00000117318
63,ENSG00000079246
64,ENSG00000175745
65,ENSG00000106554
66,ENSG00000123562
67,ENSG00000235162
68,ENSG00000145293
69,ENSG00000165474
70,ENSG00000130204
71,ENSG00000165480
72,ENSG00000087086
73,ENSG00000253729
74,ENSG00000182742
75,ENSG00000101608
76,ENSG00000135486
77,ENSG00000116120
78,ENSG00000100908
79,ENSG00000167513
80,ENSG00000184990
81,ENSG00000148484
82,ENSG00000105173
83,ENSG00000125944
84,ENSG00000222041
85,ENSG00000136527
86,ENSG00000130176
87,ENSG00000131507
88,ENSG00000118816
89,ENSG00000111665
90,ENSG00000148362
91,ENSG00000078304
92,ENSG00000066279
93,ENSG00000143742
94,ENSG00000164985
95,ENSG00000129355
96,ENSG00000136490
97,ENSG00000147509
98,ENSG00000019582
99,ENSG00000168078
100,ENSG00000136824
101,ENSG00000175130
102,ENSG00000188229
103,ENSG00000129484
104,ENSG00000122786
105,ENSG00000104472
106,ENSG00000183722
107,ENSG00000138160
108,ENSG00000147274
109,ENSG00000142230
110,ENSG00000183011
111,ENSG00000015475
112,ENSG00000198176
113,ENSG00000197858
114,ENSG00000160307
115,ENSG00000182512
116,ENSG00000136950
117,ENSG00000163950
118,ENSG00000182628
119,ENSG00000076382
120,ENSG00000051825
