,human_ensembl,human_symbol,mouse_ensembl,mouse_symbol,zebrafish_ensembl,zebrafish_symbol,qG0,G1,Late.G1,S,S.G2,G2.M,M.Early.G1
1,ENSG00000120437,ACAT2,ENSMUSG00000023832,Acat2,ENSDARG00000007127,acat2,0,0,1,1,1,0,0
2,ENSG00000097021,ACOT7,ENSMUSG00000028937,Acot7,ENSDARG00000018653,acot7,0,0,0,0,1,0,0
3,ENSG00000136518,ACTL6A,ENSMUSG00000027671,Actl6a,ENSDARG00000070828,actl6a,0,0,0,0,1,0,0
4,ENSG00000115091,ACTR3,ENSMUSG00000026341,Actr3,missing,missing,0,0,0,1,0,0,0
5,ENSG00000119640,ACYP1,missing27,missing27,missing,missing,0,0,0,0,1,0,0
6,ENSG00000196839,ADA,ENSMUSG00000017697,Ada,ENSDARG00000003113,ada,0,0,0,0,0,1,0
7,ENSG00000130706,ADRM1,ENSMUSG00000042165,Adrm1b,ENSDARG00000058560,adrm1,0,0,0,0,1,0,0
8,ENSG00000185567,AHNAK2,ENSMUSG00000118667,Ahnak2,missing,missing,0,1,0,0,0,0,0
9,ENSG00000131016,AKAP12,ENSMUSG00000038587,Akap12,ENSDARG00000091792,akap12a,0,0,0,1,1,0,0
10,ENSG00000131016,AKAP12,ENSMUSG00000038587,Akap12,ENSDARG00000055678,akap12b,0,0,0,1,1,0,0
11,ENSG00000135334,AKIRIN2,ENSMUSG00000028291,Akirin2,ENSDARG00000058729,akirin2,0,0,0,0,0,1,0
12,ENSG00000053371,AKR7A2,missing2,missing2,ENSDARG00000035257,akr1a1a,0,0,0,0,1,0,0
13,ENSG00000053371,AKR7A2,missing2,missing2,ENSDARG00000099728,zgc:56622,0,0,0,0,1,0,0
14,ENSG00000120697,ALG5,ENSMUSG00000036632,Alg5,ENSDARG00000061235,alg5,0,0,0,0,1,0,0
15,ENSG00000141552,ANAPC11,ENSMUSG00000025135,Anapc11,ENSDARG00000102531,anapc11,0,0,0,0,0,1,0
16,ENSG00000148677,ANKRD1,ENSMUSG00000024803,Ankrd1,ENSDARG00000075263,ankrd1a,0,0,1,0,0,0,0
